geonameid,name,country_code,country,latitude,longitude,elevation_m,population,timezone,duration_seconds,seconds_sacrificed,sun_altitude_deg,max_eclipse_ut_hours,distance_from_centerline_km
11862748,Ben Aoun,TN,Tunisia,34.85261,9.14391,462,9297,Africa/Tunis,339.1,44.0,54.33,9.144016,1.4
2473776,Ghraiba,TN,Tunisia,34.49555,10.21113,37,3251,Africa/Tunis,339.1,44.0,55.66,9.176656,18.1
2473258,Er Regueb,TN,Tunisia,34.85932,9.78654,195,11420,Africa/Tunis,338.8,44.3,55.04,9.162526,13.6
406662,Sāqayn,YE,Yemen,16.877,43.52499,2272,41,Asia/Aden,338.8,44.3,68.71,10.689544,44.5
2473525,Mezzouna,TN,Tunisia,34.57758,9.84193,155,7390,Africa/Tunis,338.7,44.4,55.21,9.165435,16.1
358274,Dayr Mawās,EG,Egypt,27.64148,30.85012,51,60835,Africa/Cairo,338.5,44.6,80.07,9.973963,59.6
88967,Al Jaghbūb,LY,Libya,29.74262,24.51676,11,2768,Africa/Tripoli,338.1,45.0,74.1,9.706942,57.7
2473633,Kellabine,TN,Tunisia,34.70882,11.2147,3,15501,Africa/Tunis,338.0,45.2,56.68,9.205092,24.9
2472380,Bir el Hafey,TN,Tunisia,34.93212,9.19321,438,6498,Africa/Tunis,337.8,45.4,54.36,9.145114,11.0
78991,Al Maḩfid,YE,Yemen,14.05847,46.91329,660,0,Asia/Aden,337.7,45.4,62.55,10.865084,29.1
2473513,El Maknassi,TN,Tunisia,34.60433,9.60815,259,14773,Africa/Tunis,337.5,45.6,54.94,9.158493,17.5
7341410,Madghil,YE,Yemen,15.59858,45.04013,1197,0,Asia/Aden,337.4,45.7,65.96,10.769944,39.7
2471059,Feriana,TN,Tunisia,34.94529,8.56789,737,75000,Africa/Tunis,337.3,45.8,53.66,9.127216,1.9
2584420,Dar el Haj Taïeb,TN,Tunisia,34.78444,10.74389,24,26304,Africa/Tunis,337.3,45.8,56.12,9.190804,23.6
12056179,Shalātīn,EG,Egypt,23.13905,35.59821,11,12421,Africa/Cairo,337.3,45.9,80.88,10.256371,60.1
2473470,Gremda,TN,Tunisia,34.79075,10.72059,35,40862,Africa/Tunis,337.1,46.0,56.1,9.190085,23.8
2464569,Thelepte,TN,Tunisia,34.97776,8.59264,793,6932,Africa/Tunis,337.0,46.1,53.67,9.12779,5.8
2467243,Sakiet ed Daier,TN,Tunisia,34.79435,10.80617,12,125204,Africa/Tunis,336.1,47.0,56.19,9.192582,25.9
2467242,Sakiet ez Zit,TN,Tunisia,34.80194,10.76361,22,100000,Africa/Tunis,336.0,47.1,56.14,9.19129,25.9
2473835,El Ain,TN,Tunisia,34.8,10.78333,15,43333,Africa/Tunis,336.0,47.2,56.16,9.191881,26.1
8555994,Shalateen,EG,Egypt,23.13235,35.59094,10,12443,Africa/Cairo,335.6,47.5,80.89,10.256323,61.1
79531,Al Ḩarf,YE,Yemen,16.36395,44.09421,1570,0,Asia/Aden,335.5,47.6,67.66,10.720962,45.6
78141,Ar Rawḑah,YE,Yemen,14.46725,47.27638,839,0,Asia/Aden,335.4,47.7,62.32,10.862106,30.8
7346660,Al Kharāb,YE,Yemen,16.99129,43.33888,1630,0,Asia/Aden,335.1,48.1,69.03,10.680742,48.5
86002,Jardas al ‘Abīd,LY,Libya,32.30337,20.98615,627,6744,Africa/Tripoli,334.8,48.3,68.57,9.541064,53.8
13132701,Menzel Bouzaiane,TN,Tunisia,34.5732,9.42567,302,7113,Africa/Tunis,334.0,49.1,54.75,9.153332,24.1
2471992,Borj Mejen Bel Abbès,TN,Tunisia,34.7501,8.51976,643,6471,Africa/Tunis,333.1,50.0,53.68,9.126562,20.3
71687,Ruḑūm,YE,Yemen,14.0851,47.74314,166,0,Asia/Aden,331.5,51.6,61.48,10.885029,33.8
2465840,Sidi Bouzid,TN,Tunisia,35.03823,9.48494,332,47595,Africa/Tunis,331.1,52.1,54.64,9.153051,27.6
103630,Najrān,SA,Saudi Arabia,17.49326,44.12766,1310,505652,Asia/Riyadh,331.0,52.1,68.22,10.687449,49.3
352736,Marsa Alam,EG,Egypt,25.06305,34.89005,18,10000,Africa/Cairo,330.8,52.4,80.82,10.178287,63.8
2506404,Arris,DZ,Algeria,35.25881,6.34706,1205,36641,Africa/Algiers,330.2,52.9,51.1,9.064894,3.9
355635,Edfu,EG,Egypt,24.97916,32.87722,90,79510,Africa/Cairo,330.0,53.1,82.26,10.112874,65.8
107746,Badr al-Janūb,SA,Saudi Arabia,17.88528,43.71407,2108,2709,Asia/Riyadh,329.3,53.8,68.97,10.664053,51.7
72746,Mayfa‘ah,YE,Yemen,14.27533,47.58414,394,0,Asia/Aden,329.2,53.9,61.8,10.875463,37.7
347863,Sīwah,EG,Egypt,29.2032,25.51965,-15,25031,Africa/Cairo,328.5,54.6,75.49,9.753016,64.6
2477740,Tarhit Ouled Hellal,DZ,Algeria,35.08111,6.33375,1444,3062,Africa/Algiers,327.9,55.2,51.14,9.064785,15.8
2503878,Bir el Ater,DZ,Algeria,34.74488,8.06024,889,70749,Africa/Algiers,327.5,55.6,53.17,9.113513,28.2
2469251,Menzel Chaker,TN,Tunisia,34.96472,10.36944,107,2278,Africa/Tunis,327.5,55.6,55.64,9.17894,35.9
2507877,Aïn Touta,DZ,Algeria,35.37675,5.90001,925,55736,Africa/Algiers,327.4,55.7,50.58,9.05279,11.3
2501404,Cheria,DZ,Algeria,35.27306,7.75194,1094,66160,Africa/Algiers,327.3,55.8,52.64,9.103288,25.0
53157,Qandala,SO,Somalia,11.47197,49.87282,8,19300,Africa/Mogadishu,327.1,56.0,57.05,11.011926,24.6
2473457,Kasserine,TN,Tunisia,35.16758,8.83651,674,84365,Africa/Tunis,327.0,56.1,53.87,9.134037,30.6
2505629,Barika,DZ,Algeria,35.38901,5.36584,476,98141,Africa/Algiers,326.7,56.4,49.99,9.038713,6.3
352951,Mallawī,EG,Egypt,27.73264,30.84129,53,212628,Africa/Cairo,325.0,58.1,79.97,9.971396,67.5
11862814,El Amra,TN,Tunisia,35.14795,9.28111,399,3361,Africa/Tunis,324.1,59.0,54.37,9.146777,36.0
34703,Sūq Şirwāḩ,YE,Yemen,15.44933,45.01891,1480,0,Asia/Aden,323.1,60.0,65.9,10.773929,53.5
2473183,As Sanad,TN,Tunisia,34.4628,9.26404,600,9533,Africa/Tunis,322.9,60.2,54.61,9.149064,39.0
2502625,Boumagueur,DZ,Algeria,35.5052,5.5525,756,8474,Africa/Algiers,322.5,60.7,50.16,9.043462,21.3
2473161,Skhira,TN,Tunisia,34.2992,10.06999,33,11944,Africa/Tunis,322.4,60.8,55.58,9.173496,42.2
107692,Baljurashi,SA,Saudi Arabia,19.85944,41.55722,2041,51787,Asia/Riyadh,322.1,61.0,72.74,10.541676,61.7
411056,Ḩaydān,YE,Yemen,16.77899,43.43372,2121,0,Asia/Aden,321.5,61.7,68.78,10.689953,59.1
2477528,Tazoult-Lambese,DZ,Algeria,35.48171,6.26074,1205,41636,Africa/Algiers,321.3,61.8,50.94,9.06222,27.3
88834,Tūkrah,LY,Libya,32.53414,20.57911,16,12593,Africa/Tripoli,321.0,62.1,67.98,9.524126,62.3
34888,An Naz̧īr,YE,Yemen,16.90916,43.26226,1782,0,Asia/Aden,319.6,63.5,69.09,10.681104,60.7
2476409,Timgad,DZ,Algeria,35.49281,6.46999,1025,11828,Africa/Algiers,319.3,63.8,51.17,9.067859,31.2
2491889,Khenchela,DZ,Algeria,35.43583,7.14333,1128,114472,Africa/Algiers,319.2,63.9,51.92,9.08617,34.1
2486177,N’Gaous,DZ,Algeria,35.555,5.61056,758,29453,Africa/Algiers,319.2,63.9,50.21,9.044945,27.5
360159,Ar Radīsīyah Qiblī,EG,Egypt,24.90652,32.88563,97,16190,Africa/Cairo,318.9,64.3,82.32,10.115143,71.8
7931039,Jawl al Majma‘,YE,Yemen,14.93278,47.02763,1092,0,Asia/Aden,318.8,64.4,62.93,10.841948,50.6
2503852,Birine,DZ,Algeria,35.635,3.225,736,26670,Africa/Algiers,318.5,64.7,47.59,8.983575,12.6
2507972,Aïn Oussera,DZ,Algeria,35.45139,2.90583,685,98107,Africa/Algiers,318.4,64.7,47.28,8.975475,10.3
2586938,Ailet Jridani,TN,Tunisia,35.10051,10.03425,128,1705,Africa/Tunis,318.3,64.8,55.21,9.1686,44.4
73788,Khawrah,YE,Yemen,14.43201,46.15435,1199,0,Asia/Aden,318.0,65.1,63.78,10.834533,54.0
2464979,Sbeitla,TN,Tunisia,35.23151,9.12321,530,23764,Africa/Tunis,317.6,65.5,54.16,9.141944,42.4
77017,Bayḩān,YE,Yemen,14.80067,45.71889,2,0,Asia/Aden,317.2,65.9,64.58,10.811919,55.6
2508157,Ain el Hadjel,DZ,Algeria,35.67003,3.88153,544,28728,Africa/Algiers,316.8,66.4,48.29,9.000187,22.2
2473900,El Abadlia,TN,Tunisia,35.1399,9.85316,243,2494,Africa/Tunis,316.7,66.4,55.0,9.163193,45.3
2502385,Bou Saâda,DZ,Algeria,35.20855,4.17402,611,111787,Africa/Algiers,316.4,66.7,48.72,9.007649,26.1
2505572,Batna,DZ,Algeria,35.55597,6.17414,1037,289504,Africa/Algiers,315.9,67.2,50.82,9.059836,34.4
2475860,Tissemsilt,DZ,Algeria,35.60722,1.81081,866,66084,Africa/Algiers,315.8,67.3,46.06,8.948676,0.7
374290,Hala'ib,EG,Egypt,22.22273,36.64679,4,27000,Africa/Cairo,315.8,67.3,79.74,10.3176,71.7
2492809,Kaïs,DZ,Algeria,35.49474,6.92492,933,32668,Africa/Algiers,315.6,67.5,51.66,9.080157,37.5
2503086,Bougzoul,DZ,Algeria,35.70558,2.84599,640,14095,Africa/Algiers,315.6,67.5,47.16,8.974217,17.4
78112,Marbāţ,YE,Yemen,14.20567,46.38811,1547,0,Asia/Aden,315.4,67.7,63.33,10.847402,55.5
110328,Ad Darb,SA,Saudi Arabia,17.72285,42.25261,73,5378,Asia/Riyadh,314.0,69.1,70.88,10.627117,65.8
109118,Al Mindak,SA,Saudi Arabia,20.1588,41.28337,2006,9218,Asia/Riyadh,313.5,69.7,73.22,10.524447,67.4
104269,Mislīyah,SA,Saudi Arabia,17.45988,42.5572,127,6117,Asia/Riyadh,313.1,70.0,70.33,10.643972,65.8
2479203,Lardjem,DZ,Algeria,35.74922,1.54778,552,30000,Africa/Algiers,312.8,70.3,45.75,8.942652,13.4
88903,Al Marj,LY,Libya,32.49257,20.82909,338,85315,Africa/Tripoli,312.8,70.3,68.26,9.533012,67.3
11670045,Sabt Alalayah,SA,Saudi Arabia,19.5773,41.96357,2800,100000,Asia/Riyadh,312.5,70.7,72.08,10.562291,66.8
2486690,M'Sila,DZ,Algeria,35.70889,4.53722,465,132975,Africa/Algiers,312.1,71.0,49.0,9.016959,32.8
7115828,Smala,DZ,Algeria,35.71652,0.75437,220,4000,Africa/Algiers,312.0,71.1,44.9,8.923825,5.6
2474638,Zemoura,DZ,Algeria,35.72251,0.75509,288,21770,Africa/Algiers,311.9,71.2,44.89,8.923838,6.3
2477461,Tébessa,DZ,Algeria,35.40417,8.12417,867,194461,Africa/Algiers,311.8,71.3,53.01,9.113286,45.1
109953,Al Bahah,SA,Saudi Arabia,20.01288,41.46767,2176,88419,Asia/Riyadh,311.6,71.5,72.92,10.534368,68.1
75133,Ḩarīb,YE,Yemen,14.93156,45.50356,1161,0,Asia/Aden,311.6,71.5,64.95,10.802456,60.6
2488616,Mehdia daira de meghila,DZ,Algeria,35.43058,1.75714,909,31396,Africa/Algiers,311.4,71.8,46.03,8.947093,20.6
2471700,Dar Ouled Khalifa,TN,Tunisia,35.35,8.61667,714,7703,Africa/Tunis,311.2,71.9,53.56,9.127218,46.9
2483668,Relizane,DZ,Algeria,35.73734,0.55599,98,123255,Africa/Algiers,311.1,72.0,44.68,8.919251,7.0
2487882,Merouana,DZ,Algeria,35.63106,5.91186,992,47646,Africa/Algiers,310.7,72.4,50.52,9.052776,39.4
74490,Ḩūth,YE,Yemen,16.23114,43.96854,1889,0,Asia/Aden,309.9,73.3,67.76,10.721567,65.5
79967,Al ‘Āqir,YE,Yemen,14.56816,45.91156,2,0,Asia/Aden,309.7,73.5,64.18,10.823958,60.6
2482183,Aziz,DZ,Algeria,35.82331,2.45154,895,12500,Africa/Algiers,309.2,74.0,46.71,8.964574,27.5
2470260,Djebeniana,TN,Tunisia,35.035,10.90809,35,7190,Africa/Tunis,309.1,74.0,56.2,9.194289,54.1
2487293,Mohammadia,DZ,Algeria,35.58861,0.06861,43,62410,Africa/Algiers,308.9,74.2,44.17,8.907546,11.5
2494548,Hammamet,DZ,Algeria,35.44862,7.95184,878,28536,Africa/Algiers,308.8,74.3,52.8,9.108386,47.3
2483968,Râs el Aïoun,DZ,Algeria,35.67384,5.6453,862,34167,Africa/Algiers,308.5,74.7,50.21,9.045721,41.0
2494065,Assi Bou Nif,DZ,Algeria,35.69222,-0.49944,121,53700,Africa/Algiers,308.3,74.8,43.55,8.894768,2.0
